rank,ticker,company,weight,sector,sub_industry
372,DGX,Quest Diagnostics Inc,0.03,Health Care,Health Care Services
386,DLTR,Dollar Tree Inc,0.03,Consumer Staples,Consumer Staples Merchandise Retail
364,DG,Dollar General Corp,0.03,Consumer Staples,Consumer Staples Merchandise Retail
358,VRSK,Verisk Analytics Inc,0.03,Industrials,Research & Consulting Services
384,VLTO,Veralto Corp,0.03,Industrials,Environmental & Facilities Services
365,PFG,Principal Financial Group Inc,0.03,Financials,Life & Health Insurance
464,HAS,Hasbro Inc,0.02,Consumer Discretionary,Leisure Products
444,GPC,Genuine Parts Co,0.02,Consumer Discretionary,Distributors
431,GNRC,Generac Holdings Inc,0.02,Industrials,Electrical Components & Equipment
473,GDDY,GoDaddy Inc,0.02,Information Technology,Internet Services & Infrastructure
468,HII,Huntington Ingalls Industries Inc,0.02,Industrials,Aerospace & Defense
425,IEX,IDEX Corp,0.02,Industrials,Industrial Machinery & Supplies & Components
422,MAA,Mid-America Apartment Communities Inc,0.02,Real Estate,Multi-Family Residential REITs
440,MAS,Masco Corp,0.02,Industrials,Building Products
427,LDOS,Leidos Holdings Inc,0.02,Industrials,Diversified Support Services
420,KIM,Kimco Realty Corp,0.02,Real Estate,Retail REITs
476,ZBRA,Zebra Technologies Corp,0.02,Information Technology,Electronic Equipment & Instruments
442,LULU,Lululemon Athletica Inc,0.02,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
436,J,Jacobs Solutions Inc,0.02,Industrials,Construction & Engineering
451,MKC,McCormick & Co Inc/MD,0.02,Consumer Staples,Packaged Foods & Meats
475,IT,Gartner Inc,0.02,Information Technology,IT Consulting & Other Services
460,IVZ,Invesco Ltd,0.02,Financials,Asset Management & Custody Banks
461,MGM,MGM Resorts International,0.02,Consumer Discretionary,Casinos & Gaming
429,NDSN,Nordson Corp,0.02,Industrials,Industrial Machinery & Supplies & Components
480,WYNN,Wynn Resorts Ltd,0.02,Consumer Discretionary,Casinos & Gaming
481,AES,AES Corp/The,0.02,Utilities,Independent Power Producers & Energy Traders
419,NVR,NVR Inc,0.02,Consumer Discretionary,Homebuilding
454,UDR,UDR Inc,0.02,Real Estate,Multi-Family Residential REITs
463,BF.B,Brown-Forman Corp,0.02,Consumer Staples,Distillers & Vintners
462,ALGN,Align Technology Inc,0.02,Health Care,Health Care Supplies
452,TYL,Tyler Technologies Inc,0.02,Information Technology,Application Software
472,CPT,Camden Property Trust,0.02,Real Estate,Multi-Family Residential REITs
423,BEN,Franklin Resources Inc,0.02,Financials,Asset Management & Custody Banks
434,BBY,Best Buy Co Inc,0.02,Consumer Discretionary,Computer & Electronics Retail
466,AVY,Avery Dennison Corp,0.02,Materials,Paper & Plastic Packaging Products & Materials
